,comments,CleanedText
10,"I liked the taste of this green tea. Good quality product. Tea Bag is made of some sort of fabric and not paper, which I liked. A tea infused with the goodness of medicinal properties along with the clean aspect of onlyleaf . The only leaf concept of having full leaves in a see-through gauze which when dipped into hot water infuses the strong aroma of tulsi and ginger, in the tea which is surely worthy of talking about.","I liked the taste of this green tea. Good quality product. Tea Bag is made of some sort of fabric and not paper, which I liked. A tea infused with the goodness of medicinal properties along with the clean aspect of onlyleaf . The only leaf concept of having full leaves in a see-through gauze which when dipped into hot water infuses the strong aroma of tulsi and ginger, in the tea which is surely worthy of talking about."
11,"Lets talk why i do not like the teaThe flavour of ginger is not good , almost zero, and something smells very bad, i have tried a lot of flavour in green tea like immunity boost, green white fusion, rose bud tea, turmaric tea, and many moreBut it was not good in my opinion,i mean the smell is like bad something ,","Lets talk why i do not like the teaThe flavour of ginger is not good , almost zero, and something smells very bad, i have tried a lot of flavour in green tea like immunity boost, green white fusion, rose bud tea, turmaric tea, and many moreBut it was not good in my opinion,i mean the smell is like bad something ,"
12,Very good flavour. No bitterness at all in this green tea.Have given one one star for packaging as the item reached me with the box completely crushed and the tea bags were  all loose in the package.,Very good flavour. No bitterness at all in this green tea. Have given one one star for packaging as the item reached me with the box completely crushed and the tea bags were  all loose in the package.
13,"I really loved this green tea.  It's actually less bitter than the green tea brands I have tried - tetly, Lipton and tea monk. And gives a subtle taste of ginger & turmeric. You could actually see through the leaves and small pieces of ginger & turmeric inside the pyramid pouch.It is soothing indeed to have a cup of tea. Though I am not a big fan of mint green tea I got them as free samples, even they were not as strong flavoured so I was ok. But yeah I won't prefer them.The nylon pyramid pouches gives it a premium appearance.Overall a good experience with ginger& turmeric, & hv ordered another flavour to try.","I really loved this green tea.  It's actually less bitter than the green tea brands I have tried - tetly, Lipton and tea monk. And gives a subtle taste of ginger & turmeric. You could actually see through the leaves and small pieces of ginger & turmeric inside the pyramid pouch. It is soothing indeed to have a cup of tea. Though I am not a big fan of mint green tea I got them as free samples, even they were not as strong flavoured so I was ok. But yeah I won't prefer them. The nylon pyramid pouches gives it a premium appearance. Overall a good experience with ginger& turmeric, & hv ordered another flavour to try."
14,"Great taste, easy to make, nice fragrance, and a good drink. Have used it for more than a month and have noticed a good difference in my immunity. I used to get cold twice a week and now it has reduced to once in two weeks.","Great taste, easy to make, nice fragrance, and a good drink. Have used it for more than a month and have noticed a good difference in my immunity. I used to get cold twice a week and now it has reduced to once in two weeks."
15,"I love this green tea ,it contains whole green leaves & natural other ingediants like ginger pieces or turmeric , it has enhanced flavour of every ingrediant, it comes in cute little bags , which are of good stuff,I had used many different varieties of green teas earlier but this one has natural ingrediants in it , i love this one.","I love this green tea ,it contains whole green leaves & natural other ingediants like ginger pieces or turmeric , it has enhanced flavour of every ingrediant, it comes in cute little bags , which are of good stuff,I had used many different varieties of green teas earlier but this one has natural ingrediants in it , i love this one."
16,"A tea infused with the goodness of medicinal properties along with the clean aspect of only leaf .  The only leaf concept of having full leaves in a see through gauze which when dipped into hot water infuses the strong aroma of tulsi and ginger, in the tea which is suerly worthy of talking about. It does complete justice to what it claims, and is best had post a heavy lunch to help with the general digestion.Tip: it works far better when the tea bag is dipped while the water is being boiled.","A tea infused with the goodness of medicinal properties along with the clean aspect of only leaf .  The only leaf concept of having full leaves in a see through gauze which when dipped into hot water infuses the strong aroma of tulsi and ginger, in the tea which is suerly worthy of talking about. It does complete justice to what it claims, and is best had post a heavy lunch to help with the general digestion. Tip: it works far better when the tea bag is dipped while the water is being boiled."
17,"I have tried multiple brands and flavours of green tea that are available in Indian market within the same price range. So far, only leaf is one brand which has maintained its quality(taste, aroma) and presentation till date. I have been using this brand from past 6-7 months and everytime I order any flavour, it's heaven in a box.","I have tried multiple brands and flavours of green tea that are available in Indian market within the same price range. So far, only leaf is one brand which has maintained its quality(taste, aroma) and presentation till date. I have been using this brand from past 6-7 months and everytime I order any flavour, it's heaven in a box."
18,I've had this tea multiple times and only leaf is my trusted brand for green tea. Only bad thing was the packaging that amazon delivered. The box came crushed. Since its paper bags doesn't make muvh difference.,I've had this tea multiple times and only leaf is my trusted brand for green tea. Only bad thing was the packaging that amazon delivered. The box came crushed. Since its paper bags doesn't make muvh difference.
19,"The ingredients are absolutely good and immune boosting. Although the taste maynot be too favourable but it's a good start for the day. Already tried chamomile, mint, and butterfly pea variety from this brand. Absolutely love. Also, kudos for delivering this during covid-19 pandemic.","The ingredients are absolutely good and immune boosting. Although the taste maynot be too favourable but it's a good start for the day. Already tried chamomile, mint, and butterfly pea variety from this brand. Absolutely love. Also, kudos for delivering this during covid-19 pandemic."
20,The turmeric and tulsi fresh natural flavours are released as soon as the tea bag is immersed. The tea flavour is a bit strong. It could have been made lighter to avoid accentuating the bitterness of the turmeric. The packaging is good and retains freshness. My only worry is that the material used for the tea bags may not be biodegradable. Need to check this.,The turmeric and tulsi fresh natural flavours are released as soon as the tea bag is immersed. The tea flavour is a bit strong. It could have been made lighter to avoid accentuating the bitterness of the turmeric. The packaging is good and retains freshness. My only worry is that the material used for the tea bags may not be biodegradable. Need to check this.
21,It's good.,It's good.
22,"At Rs 11 per tea bag, it is very expensive. Ingredients are very good quality, including small chunks of ginger. It is addicting, as very flavorful. Wish was reasonably priced.","At Rs 11 per tea bag, it is very expensive. Ingredients are very good quality, including small chunks of ginger. It is addicting, as very flavorful. Wish was reasonably priced."
23,Good product to use,Good product to use
24,All good go for it if you don't have any home leaves,All good go for it if you don't have any home leaves
25,"The packaging of this product is simple and that was pleasing enough, but what pleased me even more was that the pyramid shaped tea bags were made of some sort of fabric that let you see the ingredients in them and did not leave my tea tasting of paper!I love this variant for my early mornings or when I feel a little under the weather. The ginger and turmeric (Actual pieces of ginger and turmeric that you can see through your tea bag) along with the tulsi, steeped in hot water reminds me of my grandmothers quick fixes for a sore throat.At the same time, it is light and doesn't taste medicinal.","The packaging of this product is simple and that was pleasing enough, but what pleased me even more was that the pyramid shaped tea bags were made of some sort of fabric that let you see the ingredients in them and did not leave my tea tasting of paper. I love this variant for my early mornings or when I feel a little under the weather. The ginger and turmeric (Actual pieces of ginger and turmeric that you can see through your tea bag) along with the tulsi, steeped in hot water reminds me of my grandmothers quick fixes for a sore throat. At the same time, it is light and doesn't taste medicinal."
26,The taste was better with OnlyLeaf. It has the flavour of turmeric. After it became Teabox there is no taste at all.,The taste was better with OnlyLeaf. It has the flavour of turmeric. After it became Teabox there is no taste at all.
27,All I can say is : wahhhh...Taste and quality is 10/10.Honestly packaging is ok ok but it does not effects the product I am fine with it personally.,All I can say is : wahhhh. Taste and quality is 10/10. Honestly packaging is ok ok but it does not effects the product I am fine with it personally.
28,This tea is good not only from the ingredients composition perspective but also the packaging which is slightly better than normal dip tea bags and the flavors are also authentic as they give dry turmeric which tastes good and is healthy also.,This tea is good not only from the ingredients composition perspective but also the packaging which is slightly better than normal dip tea bags and the flavors are also authentic as they give dry turmeric which tastes good and is healthy also.
29,"I found this whole leaf tea quite a welcome change from the regular CTC tea, in that it retains the full-bodied original aroma and flavor of the tea. There was no lingering bitterness and the unique packaging of the bags allowed optimal diffusion into the water.","I found this whole leaf tea quite a welcome change from the regular CTC tea, in that it retains the full-bodied original aroma and flavor of the tea. There was no lingering bitterness and the unique packaging of the bags allowed optimal diffusion into the water."
30,"There are some cuts on nylon bags where the tea leaves, ginger etc., are coming out.In my opinion, if Tulsi flavor is increased little more then the taste will be more good and refreshing.","There are some cuts on nylon bags where the tea leaves, ginger etc., are coming out. In my opinion, if Tulsi flavor is increased little more then the taste will be more good and refreshing."
31,"The turmeric ginger tea is awesome. They packed leaves into little packets and sent it, which makes it awesome. There is no tea dust, no grains, and is minimally processed. If you are looking for green tea leaves with nice flavour and smoothness, this one has to be tried and tasted.I personally start my day with this tea. A cup of health early in the day can't be compared to anythjng else.","The turmeric ginger tea is awesome. They packed leaves into little packets and sent it, which makes it awesome. There is no tea dust, no grains, and is minimally processed. If you are looking for green tea leaves with nice flavour and smoothness, this one has to be tried and tasted. I personally start my day with this tea. A cup of health early in the day can't be compared to anythjng else."
32,"I have tried both the Hibiscus and turmeric green tea. They are definitely not bad, but I think a couple of improvements could really change the green tea experience. First off the green tea content seems less compared to the other ingredients in the tea bag. You can taste the Turmeric, Hibiscus, clove but it's overbearing and kills the green tea taste. Also the tea bag is stuck with some glue to the thread which in hot water just doesn't seem right.","I have tried both the Hibiscus and turmeric green tea. They are definitely not bad, but I think a couple of improvements could really change the green tea experience. First off the green tea content seems less compared to the other ingredients in the tea bag. You can taste the Turmeric, Hibiscus, clove but it's overbearing and kills the green tea taste. Also the tea bag is stuck with some glue to the thread which in hot water just doesn't seem right."
33,Definitely recommend this to everyone and is a must-have in all homes,Definitely recommend this to everyone and is a must-have in all homes
34,"One of the best flavours and so much needed in this weather. This is perhaps the most authentic brand of green tea that I have tried. Right from packaging, to the ingredients and to the taste, it's so innovative and full of freshness and health. I have been trying different flavours of the product and my satisfaction level with the product has only gone up each time.","One of the best flavours and so much needed in this weather. This is perhaps the most authentic brand of green tea that I have tried. Right from packaging, to the ingredients and to the taste, it's so innovative and full of freshness and health. I have been trying different flavours of the product and my satisfaction level with the product has only gone up each time."
35,Good quality green tea with soothing taste with very health benefits.,Good quality green tea with soothing taste with very health benefits.
36,My favourite flavour in only leaf green tea. It’s one of the better green teas I have tasted,My favourite flavour in only leaf green tea. It’s one of the better green teas I have tasted
37,Today I have 1st tried the tea and it's awesome. I am very happy . It's flavor is very good just turmeric flavor is little over powered. Just put tea bag for 2-3 minutes in the hot water .That's all.,Today I have 1st tried the tea and it's awesome. I am very happy . It's flavor is very good just turmeric flavor is little over powered. Just put tea bag for 2-3 minutes in the hot water . That's all.
38,The product is very good.... but I am very disappointed with packaging,The product is very good. but I am very disappointed with packaging
39,Its an amazing green tea. I have tried many  brands of green tea but this green tea is not bitter at all. I just love this brand.,Its an amazing green tea. I have tried many  brands of green tea but this green tea is not bitter at all. I just love this brand.
40,"I've been ordering Only Leaf green tea for a year now, and it's quality is top-notch. The best part is that it doesn't taste bitter, even if I dip it in for more than 2 minutes. I can almost feel the goodness seeping into my cells. it's the best!","I've been ordering Only Leaf green tea for a year now, and it's quality is top-notch. The best part is that it doesn't taste bitter, even if I dip it in for more than 2 minutes. I can almost feel the goodness seeping into my cells. it's the best."
41,Whole leaf tea with nice flavour. Cost effective as one tea bag is good enough to make two cups. The tea bag material and quality is very good. Overall product packing and presentation is appreciable.,Whole leaf tea with nice flavour. Cost effective as one tea bag is good enough to make two cups. The tea bag material and quality is very good. Overall product packing and presentation is appreciable.
42,"Really love the presentation and the beauty of the tea leaves and other ingredients inside.There were two free samples of mint tea which are so amazing that I am gonna order them nextI really love the aromasYou might feel they are slightly expensive but they are worth the priceThe package Also has 2 honey samples which I haven't tried, but they look nice","Really love the presentation and the beauty of the tea leaves and other ingredients inside. There were two free samples of mint tea which are so amazing that I am gonna order them nextI really love the aromasYou might feel they are slightly expensive but they are worth the priceThe package Also has 2 honey samples which I haven't tried, but they look nice"
43,"This is the most favourite green tea brand, I ordered Turmeric,Ginger, Tulsi And Chamomile ones, The freshness of this tea is the best thing ever, The ingredients in it are natural, You can actually see the whole green tea and no powder at all, Definitely Ordering it every month♥️","This is the most favourite green tea brand, I ordered Turmeric,Ginger, Tulsi And Chamomile ones, The freshness of this tea is the best thing ever, The ingredients in it are natural, You can actually see the whole green tea and no powder at all, Definitely Ordering it every month♥️"
44,Taste is not that great,Taste is not that great
45,"Rich aromatic green leaves, ginger as well as turmeric . It is a healthy organic drink for everyone. Thank you only leaf","Rich aromatic green leaves, ginger as well as turmeric . It is a healthy organic drink for everyone. Thank you only leaf"
46,"The product is very good. It is exactly what it advertises - only leaf, fresh and exquisitely flavoured. Loving it!","The product is very good. It is exactly what it advertises - only leaf, fresh and exquisitely flavoured. Loving it."
47,Perfect,Perfect
48,"I was introduced to this product by a friend of mine. The moment i tasted it i instantly loved it. The flavors are absolutely amazing, the packaging is too beautiful and yes it so worth the money. Will definitely continue to buy and share with my friends as well. Thank you Green Leaf Team.","I was introduced to this product by a friend of mine. The moment i tasted it i instantly loved it. The flavors are absolutely amazing, the packaging is too beautiful and yes it so worth the money. Will definitely continue to buy and share with my friends as well. Thank you Green Leaf Team."
49,Been using the products for a while and love it !,Been using the products for a while and love it .
50,"Having one leaf since couple of weeks and the results are so amazing. I have started feeling light and the flavour of turmeric gives you a very healthy texture of your tea, absolutely increasing power of my matabolism :)","Having one leaf since couple of weeks and the results are so amazing. I have started feeling light and the flavour of turmeric gives you a very healthy texture of your tea, absolutely increasing power of my matabolism :)"
51,"The tea bag is excellent. The flavour is light and smooth. Scent is great. Probably the best green tea , I have ever tried.","The tea bag is excellent. The flavour is light and smooth. Scent is great. Probably the best green tea , I have ever tried."
52,This tea have better quality than any other tea bags I have tried yet plus this flavor is extremely refreshing.,This tea have better quality than any other tea bags I have tried yet plus this flavor is extremely refreshing.
53,Fine. Not extraordinary. Find it pricey. Packaging of the main box can be done better. Not neatly compartmentalized.,Fine. Not extraordinary. Find it pricey. Packaging of the main box can be done better. Not neatly compartmentalized.
54,The best green tea Ive ever had. Only leaf has lot more flavours. Do order the mix flavour box first and choose your best one.,The best green tea Ive ever had. Only leaf has lot more flavours. Do order the mix flavour box first and choose your best one.
55,Flavor is good. Packaging is good,Flavor is good. Packaging is good
56,"its beautiful in flavor , the color , the flavor of ginger , turmeric , green tea leaves along with  is damm good.i am now a great fan of this product .will recomend it to everyone who wishes to have a good health nd develop self immunity . Thank you for such a product .","its beautiful in flavor , the color , the flavor of ginger , turmeric , green tea leaves along with  is damm good. i am now a great fan of this product . will recomend it to everyone who wishes to have a good health nd develop self immunity . Thank you for such a product ."
57,Pros- Packaging is goodCons- Flavor is not strong,Pros- Packaging is goodCons- Flavor is not strong
58,Excellent product and very useful for health please.,Excellent product and very useful for health please.
59,Its really good.You get kadha and green tea both in the same item.it also is like an immunity booster especially in these times.,Its really good. You get kadha and green tea both in the same item. it also is like an immunity booster especially in these times.
60,Better to mention the expiry date of the productProduct was good,Better to mention the expiry date of the productProduct was good
61,I have stopes consuming regular tea and started whole leaf tea. It is excellent in all aspect. In these days it is advisable to drink whole leaf green tea.,I have stopes consuming regular tea and started whole leaf tea. It is excellent in all aspect. In these days it is advisable to drink whole leaf green tea.
62,The taste is good and refreshing. Can use the tea bag twice and the taste remains the same. Overall I recommend this,The taste is good and refreshing. Can use the tea bag twice and the taste remains the same. Overall I recommend this
63,nice,nice
64,"Flavour, freshness, value for money","Flavour, freshness, value for money"
65,Very nice flavour.1 tea bag suffices for 2 cups of tea.,Very nice flavour.1 tea bag suffices for 2 cups of tea.
66,Plastic bag,Plastic bag
67,"I ordered only leaf turmeric ginger tulsi  green tea  for my husband who's never been a green tea fan...after trying this product for a week he feels less bloated. Best thing about this green tea is visible content in a triangular tea bag,a thumbs up from me and my husband👍","I ordered only leaf turmeric ginger tulsi  green tea  for my husband who's never been a green tea fan. after trying this product for a week he feels less bloated. Best thing about this green tea is visible content in a triangular tea bag,a thumbs up from me and my husband👍"
68,"Awsome product, flavourful tea , it is not at all bitter like regular green teas, also has added benefits of turmeric, the teabags are nice quality, tea dust not packed only tea leaves, the way the name pronounces ""only leaf "" , up to mark","Awsome product, flavourful tea , it is not at all bitter like regular green teas, also has added benefits of turmeric, the teabags are nice quality, tea dust not packed only tea leaves, the way the name pronounces ""only leaf "" , up to mark"
69,Amongst the best products.,Amongst the best products.
70,"it doesn't give intense test , very light you may feel to add one more tea bag.","it doesn't give intense test , very light you may feel to add one more tea bag."
71,"Awesome flavour, I could taste the purity of the contents.The aroma itself is refreshing.","Awesome flavour, I could taste the purity of the contents. The aroma itself is refreshing."
72,I liked it fine. Has chunks of ginger n turmeric,I liked it fine. Has chunks of ginger n turmeric
73,Taste is not good,Taste is not good
74,"Nice product with good quality, freshness and taste","Nice product with good quality, freshness and taste"
75,The natural and premium beverage.The flavor is what makes it genuine...worth recommending,The natural and premium beverage. The flavor is what makes it genuine. worth recommending
76,"Very good  product, and healthier very good.","Very good  product, and healthier very good."
77,I tried Chamomile tea from Only Leaf & I liked it very much. Packaging is good & the quality of tea bag is amazing.I am looking forward to order and try more flavours from them,I tried Chamomile tea from Only Leaf & I liked it very much. Packaging is good & the quality of tea bag is amazing. I am looking forward to order and try more flavours from them
78,Flavour - Same as describedPresentation - packing presentation is good,Flavour - Same as describedPresentation - packing presentation is good
79,Amazing. Try it to feel the flavors......,Amazing. Try it to feel the flavors.
80,A bit mild to my taste. Had to dip 2 bags to get adequate flavour.,A bit mild to my taste. Had to dip 2 bags to get adequate flavour.
81,"Taste not good, otherwise very good for health.","Taste not good, otherwise very good for health."
82,I am happy with the product.Does what is mentioned & yes it has only leaves in the teabags.,I am happy with the product. Does what is mentioned & yes it has only leaves in the teabags.
83,The taste of green tea is good,The taste of green tea is good
84,"Taste is good and authentic , just don’t like the use of plastic teabags","Taste is good and authentic , just don’t like the use of plastic teabags"
85,Very good product ...,Very good product .
86,Really impressed with the quality of the tea bags from only leaf!One of a kind packing of the tea bags makes the scent n flavour last!Refreshing and energising!Looking forward to try other flavours!,Really impressed with the quality of the tea bags from only leaf. One of a kind packing of the tea bags makes the scent n flavour last. Refreshing and energising. Looking forward to try other flavours.
87,Good content but tea bags material is of thin plastic..,Good content but tea bags material is of thin plastic.
88,Product is just ok not Great...but more importantly the entire product is just an over use of plastic...from the outer plastic wrap to each tea sachet is plastic. What's more is the actual tea bag itself is a triangular plastic or nylon bag... With glue used to attach the string....is that what you want to start your day with? Infusing plastic with your green tea? There are brands with zero plastic waste that are at the same price point and tase better too.,Product is just ok not Great. but more importantly the entire product is just an over use of plastic. from the outer plastic wrap to each tea sachet is plastic. What's more is the actual tea bag itself is a triangular plastic or nylon bag. With glue used to attach the string. is that what you want to start your day with. Infusing plastic with your green tea. There are brands with zero plastic waste that are at the same price point and tase better too.
89,"This one was the favorite of the lot that i ordered. The ginger , tulsi and turmeric tea is what you need on a day with a bad cough and it soothes your throat with every sip.  Highly recommend this for its flavor and the packaging.","This one was the favorite of the lot that i ordered. The ginger , tulsi and turmeric tea is what you need on a day with a bad cough and it soothes your throat with every sip.  Highly recommend this for its flavor and the packaging."
90,"The tea was absolutely tasty and great for a sick person as it gives relief. The best part, it wasn't bitter at all. The same bag can be used twice. I loved it!","The tea was absolutely tasty and great for a sick person as it gives relief. The best part, it wasn't bitter at all. The same bag can be used twice. I loved it."
91,Good for me 😊,Good for me 😊
92,I was my favourite brand and flavour for the last one and half year. But this time i find it is the worst i could digest.,I was my favourite brand and flavour for the last one and half year. But this time i find it is the worst i could digest.
93,The taste is not as strong as I wanted it to be. The ginger is almost nowhere. But lots of tulsi flavor. And it helps. Better than other products I have tried,The taste is not as strong as I wanted it to be. The ginger is almost nowhere. But lots of tulsi flavor. And it helps. Better than other products I have tried
94,This is my first time experience and I am going to order another again. Love the real feel of turmeric green tea. Thanks for samples 😁,This is my first time experience and I am going to order another again. Love the real feel of turmeric green tea. Thanks for samples 😁
95,Nice flavour. Very fresh. Love the aroma. I ordered Rose as well as Immunity boosting Turmeric Ginger,Nice flavour. Very fresh. Love the aroma. I ordered Rose as well as Immunity boosting Turmeric Ginger
96,Good,Good
97,"Traditional flavours of Ginger and Turmeric included in a new and modern manner is what makes this product special. The tea is a nice and fresh start to the day. The one time use packaging, is easy to tear and use, and hence easy to maintain.","Traditional flavours of Ginger and Turmeric included in a new and modern manner is what makes this product special. The tea is a nice and fresh start to the day. The one time use packaging, is easy to tear and use, and hence easy to maintain."
98,Not useful,Not useful
99,This is amazing!The quality of the drinks made is great and tasty.I can't believe that I am actually feeling healthy.Will definitely purchase other flavors.Please keep up the quality.,This is amazing. The quality of the drinks made is great and tasty. I can't believe that I am actually feeling healthy. Will definitely purchase other flavors. Please keep up the quality.
100,Best tea on the market. Triangle fabric bags with chunks of turmeric and excellent green tea. I add it to a 500 ml bottle and it tastes great even like that. Excellent product!!,Best tea on the market. Triangle fabric bags with chunks of turmeric and excellent green tea. I add it to a 500 ml bottle and it tastes great even like that. Excellent product.
101,Very good green tea... It has a subtle spicy taste & comes in cute pyramid transparent packaging... This is my second order of this tea & I'm gonna order more :),Very good green tea. It has a subtle spicy taste & comes in cute pyramid transparent packaging. This is my second order of this tea & I'm gonna order more :)
102,"Very nice flavour and used same tea bag three times and still fresh taste, excellent","Very nice flavour and used same tea bag three times and still fresh taste, excellent"
103,Initially I bought the sampler box. I tried all the favours and finally bought Turmeric Ginger Tulsi Green. They taste and smell heavenly. Will stand on your expectations surely.,Initially I bought the sampler box. I tried all the favours and finally bought Turmeric Ginger Tulsi Green. They taste and smell heavenly. Will stand on your expectations surely.
104,I daily use now I m become addictive this product,I daily use now I m become addictive this product
105,Very Nice product. Ordered it four times till now.,Very Nice product. Ordered it four times till now.
106,Over all good,Over all good
107,"After tasting many green tea brands, I found this.  Honestly I fell for the taste it offers. Add the fact that these are whole leaves, and it's a great combination.","After tasting many green tea brands, I found this.  Honestly I fell for the taste it offers. Add the fact that these are whole leaves, and it's a great combination."
108,Loves the taste. Subscribe and save option chosen,Loves the taste. Subscribe and save option chosen
109,"The tea tastes so good. It’s flavour is amazing and smells great. Had a bad throat and ordered it, felt great relief having it. The packaging is very cute too.","The tea tastes so good. It’s flavour is amazing and smells great. Had a bad throat and ordered it, felt great relief having it. The packaging is very cute too."
110,"The product is genuine and it taste like whats actually written on the box.. flavours of turmeric,ginger and tulsi are fused in proportion to give you a fabolous taste.","The product is genuine and it taste like whats actually written on the box. flavours of turmeric,ginger and tulsi are fused in proportion to give you a fabolous taste."
111,Firstly packaging is really fancy i liked it especially the triangle shaped tea bags. Overall taste is mild not at all raw. I loved it and will purchase again..❤️,Firstly packaging is really fancy i liked it especially the triangle shaped tea bags. Overall taste is mild not at all raw. I loved it and will purchase again.❤️
112,"Liked the fresh ingredients which make it a good tea for the monsoons. Could distinctly taste the turmeric, ginger. The green tea flavor is subtle and not too bitter.","Liked the fresh ingredients which make it a good tea for the monsoons. Could distinctly taste the turmeric, ginger. The green tea flavor is subtle and not too bitter."
113,"Test of turmeric,ginger not feel. Very Mild test . Myself having kahua green tea. For change bought this. But this one is not satisfied what I need.","Test of turmeric,ginger not feel. Very Mild test . Myself having kahua green tea. For change bought this. But this one is not satisfied what I need."
114,"Best tea with best flavours,a helpful remedy to build immunity during this period","Best tea with best flavours,a helpful remedy to build immunity during this period"
115,Natural taste,Natural taste
116,Taste is better,Taste is better
117,Very nice,Very nice
118,Excellent product.Really love this!,Excellent product. Really love this.
119,"The media could not be loaded.
                



 An ant in the tea bag...Is it normal??","The media could not be loaded.
                



 An ant in the tea bag. Is it normal."
120,Nice,Nice
121,Did not like this flavor. Once you taste it you will feel down. The other flavor is Good,Did not like this flavor. Once you taste it you will feel down. The other flavor is Good
122,Product is as expected. Packing can be improved but over-all it's a good product. Specially honey tubes inside the package is good surprise.,Product is as expected. Packing can be improved but over-all it's a good product. Specially honey tubes inside the package is good surprise.
123,Just not flavor and presentation of the product is good but the nutrition of turmeric ginger and tulsi is actually felt... Recommended for healthy seekers..,Just not flavor and presentation of the product is good but the nutrition of turmeric ginger and tulsi is actually felt. Recommended for healthy seekers.
124,The tea has perfect amount of ingredients to it.The packaging is handy during travel.Tastes mild and flavourful.,The tea has perfect amount of ingredients to it. The packaging is handy during travel. Tastes mild and flavourful.
125,The flavor was refreshing and actual taste of the ingredients could be felt which is a unique property of the product. Would recomend to all.,The flavor was refreshing and actual taste of the ingredients could be felt which is a unique property of the product. Would recomend to all.
