,keyword,comments,polarity
0,service,some service is fine some not,0.4166666666666667
0,service,"Poor customer service,no professional behavior. Everything time worthless talks are there",-0.3666666666666667
0,service,Bad service ,-0.6999999999999998
0,service,"Good customer service executive
Nice explanation
Fully satisfied",0.6
0,service,Bed service ,0.0
0,service,Customer service agent is very co-operative and very intelligent about the knowledge.,0.6
0,service,My most HORRIBLE experience with customer service. ,-0.25
0,service,"My query was regardind refund in forms of neu coins for a cancelled order on tata cliq. Here tata cliq is the product of TATA. Neu coins are the product of TATA. Here in my case no third party or bank was involved , only tata's products were involved. Still it took 10 days to resolve the query. Qorst service by TATA. Thus is my second experience regarding TATA products where first and second level cystomer services are very poor. Previously a year ago i had to contact up to the level of the CEO of tata aia insurance for solution of my query related to my health policy.",-0.05458333333333333
0,service,Very good custmer service â˜º,0.9099999999999999
0,service,Customer service needs drastic improvement ,0.0
0,service,"You ppl have long way to go, pls check Amazon Chat service if you want to improve. ",-0.05
0,service,"This is a serious gap in Tata Neu this help service as well the platform requires creative mind who can walk through different aspect of customer problems. At present ""it is I do not know or you have to check with another part in the platform'",0.04166666666666667
0,service,Good customer service but app is not upto the expectations,0.7
0,service,You have been the best and thankyou for always providing us all good services ðŸ‘,0.85
0,service,Good service ,0.7
0,service,Very poor service ,-0.52
0,service,Hopeless useless pathetic customer service ,-0.75
0,service,One of the best customer care services I have experienced.,0.9
0,service,The worst customer service In the history of mankind. ,-1.0
0,service,The overall service is not good. ,-0.175
0,service,The customer service desk sounds useless to solve the queries.,-0.5
0,service,It just give acknowledge that you have spoke to the CCE as they aren't having any knowledge of product service provided by tata neuy,0.0
0,service,Need a systematic change to enhance the quality of services or speedy resolution to concern. 24 OR 72 Hrs TAT is high for escalation. ,0.16
0,service,The great service provide by you thank you ,0.8
0,service,Worse service. amazon flipkart is great in solving issues in a jiffy,0.2
0,service,"Cannot expect such slow poor and delayed service from a Tata enterprise. Even the Tata Neu application has a lot of snags 
 ",-0.23333333333333336
0,service,Excellent service and capabilities. I now wait for the issues to get resolved as there interdependencies. ,1.0
0,service,Your are decades behind your rivals in customer service department ,-0.4
0,service,Worst service. never try to understand customer service ,-1.0
0,service,Not happy this service,-0.4
0,service,Such a poor customer service that deleted the app and closed my Neu account. Full of inefficient executives.,-0.037500000000000006
0,service,"Taken me 30 days to refund the neu coins because the order was cancelled by tataneu themselves
Worst coustemer service ever",-1.0
0,service,Third class service ,0.0
0,service,Good service ,0.7
0,service,Very bad services ,-0.9099999999999998
0,service,"Good customer service, I'm satisfied wid the answers. I understood the concept of newcoin after dat i placed an order of 16200 n as per ur promise I got 810 neucoins, it's amazing, app is amazing it's new and exciting, overall I liked the idea & concept of tata, it was my 1st experience on tata neu & it was great. Good going. Ty.",0.49363636363636365
0,service,Twice last two deliveries ae cancelled. very bad services never expected from TATA brand,-0.28666666666666657
0,service,Bad service ,-0.6999999999999998
0,service,Third class service . I told him I want log in my old account . He told it will take 1 week after 1 week he told me your problem resolved . But when I check same issue happening again . very disconnected with service ,0.07500000000000001
0,service,"Useless customer service, no support to customer. CC executive behave like a bot, only doing copy/paste without listening customer problem. My neucoins debited wrongly before the expiry date. And no solution provided till date.",-0.3333333333333333
0,service,The application is very slow n service is also not efficient,-0.39000000000000007
0,service,Taking 9 days just to call back is not expected from you. Although last time it took 9 months to settle an issue so in that light 9 days look lightning fast. Terrible service. ,-0.05833333333333333
0,service,Very good customer service ,0.9099999999999999
0,service,"My ticket has been raised and i have not heard from you guys since then. What service is this you were first to deduct my neucoins balance , but my problem is not being heard",0.25
0,service,I have explained my issue and shared screenshot of transaction as requested by customer care executive but still there is no update on my issue. It shows very poor and worst service by Neu support team.,-0.76
0,service,"Worst service not able to resolve the issue 

Yet they mail they have resolved",-0.625
0,service,Totally bad service ,-0.6999999999999998
0,service,"You might have most competitive price of product but your android app is horrible, are you really owner of TCS.

Your package department don't know how to hand over parcel to courier service.

Overall purchase experience is worst.",-0.26
0,service,Very poor customer service. ,-0.52
0,service,Excellent customer service i am very satisfied ,0.825
0,service,"Disgusting service , no help , no consideration  and just ended the call",-1.0
0,service,I am not satisfied with the service I have lost so much time because of this. ,-0.024999999999999994
0,service,It did not get resolved by that person. Was later palmed off to the BB customer service. Had to start all over again and send another mail and images to get this sorted. So overall not a great experience ,-0.13333333333333333
0,service,Good service ,0.7
0,service,Improve coordination between customer service department and brand,0.0
0,service,"Worst customer service, refund pending for more than a month",-0.25
0,service,"Provided useful, constructive feedback.

Told about a range of elements, including customer service.

Has been detailed, specific, and honest.

Kept it civil and friendly.

God May bless Geeta to help other alike she helped me to resolve issue.

I m blessed being customer of Tataneo due to service provider like you. 
",0.20357142857142854
0,service,Great service ,0.8
0,service,The app need a lot improvement and customer service is good,0.7
0,service,Polite and patient customer service,0.0
0,service,Excellent service,1.0
0,service,Good service ,0.7
0,service,hopeless service,0.0
0,service,"Order TC300032121947 placed on 24th aug and cancelled on same day, payment debited from credit card but its not credited again, raised complaint on email id of neu customer care, haven't received any tentative date of payment refund. Worst service ",-0.43333333333333335
0,service,Good service,0.7
0,service,Never seen a worst customer service in my life . 2months now my money is not refunded . no call communication from them. If I call them all they say is wait for another 73hrs. Like that it's 2month now . I won't use this app nor suggest anyone to use this fraud app either,-1.0
0,service,I am absolutely appalled that you sent me this survey after complaining about your service on social media . you guys are from some other planet . No way Iâ€™m recommending you to even my sworn enemy . thatâ€™s how badly ineligible you guys are in my view . ,-0.39791666666666664
0,service,Nice service ,0.6
0,service,Very nice service provide by tata neu ,0.78
0,service,Quick response amazing service,0.4666666666666667
0,service,Excellent service,1.0
0,service,Excellent service,1.0
0,service,Good service & good knowledgeable,0.7
0,service,Good service,0.7
0,service,Very bad service you people taken time 72 hour resolve problem but not resolved and not update aslo,-0.9099999999999998
0,service,Prompt customer service ,0.0
0,service,Efficient service ,0.0
0,service,"My issue is not resolved. It does not fall in the scope of customer service agent. It is technical, where your app is malfunctioning. Even today. ",0.0
0,service,You will lose the digital game if you don't fix your customer service.,-0.2
0,service,Pathetic online service,-1.0
0,service,"Customer service was absolutely useless, no help or resolution provided",-0.5
0,service,Very poor service by Tata. they showed on neu that I'll get mobile next day still not received nd the customer care will still call after 24hrs. If they tell I'll get the order after 2days what's the point in placing order on app.,-0.26
0,service,Query has not been resolved yet even though o was told it would be done in 72 hours. Very bad service ,-0.9099999999999998
0,service,"horrible service.
kindly improve your standard of customer care.",-0.13333333333333333
0,service,"Very bullshit and pathetic service ,,,keep it on to spoil great name TATA",0.0
0,service,Customer service vastly needs to be improved. ,0.0
0,service,Advisor was very helpful and have timely resolution. Great service. ðŸŽŠ,0.5
0,service,Good customer care service ,0.7
0,service,Overall good service,0.35
0,service,best service.,1.0
0,service,Not service to customers order cansal,0.0
0,service,Over all your service nowadays is poor things are showing up on the category but not supplying ,-0.4
0,service,I chatted with Swapnil. He was very helpful and answered my questions concerning good service. His customer service skills are excellent. Thankyou for amazing support. ,0.625
0,service,Your Customer care executive was replying me very slowly. So maintain your service so that time of customer seeking for customer care help will be saved. ,-0.39000000000000007
0,service,Worst service ,-1.0
0,service,"Bad experience.
Employees and services/customers services",-0.6999999999999998
0,service,"First of all chat options are not given my account related option. phone number, email change related. so i have choose financial or transaction options. this is not fair. its totally company's fault. i suggest you pls give options my account related. otherwise customer can't find the real option. also not satisfied


The chat agent was no responding at longer time. this is not a good chat service. if you find any products knowledge  then pls respond to customer. i m finding it. pls stay online. or take it for 2 minutes. that customer service. i am also customer executive on tata play service ",-0.049999999999999996
0,service,You should give more advertise in social media for this more customers will know about your tata neu service.,0.3444444444444444
0,service,Good service,0.7
0,service,She left the conversation between and not responded for more then 15 minutes then I closed the chat. Very unhappy of the service.,-0.095
0,service,The customer care team on WhatsApp and Facebook are only interested in providing robotic / monotonous answers. They never respond to the questions asked. Surprisingly they respond that the delivery will be on time despite the fact that conversation was past 45 minutes of the delivery slot time. Extremely poor service.,0.033333333333333326
0,service,Good service ,0.7
0,service,Excellent service ,1.0
0,service,"My query was for the delivery of a TV which wasn't clearly answered by the customer service. They replied promptly to emails - but it was mostly vague replies (wait for 72 hours, for example), instead of concrete data that I was looking for. ",-0.08333333333333331
0,service,The customer care was good & able understanding slove the problem . The service was fast.,0.4666666666666666
0,service,I registered my complain on Tata new app . Customer care executive call me everyday but . service of repairing taken almost 5-7 days . service conducted but problem still running . no solution at all. service man just advised us unnecessary things how to use . but problem still remains . no solution at all. very poor service from Tata product Chroma. not expected at all,-0.18672727272727271
0,service,Good service ,0.7
0,service,worst service ever experienced with any Tata org. have to improve lot with Tata Neu else dont know where this land. ridiculous in one word,-0.17777777777777773
0,service,Pathetic customer service i have ever experienced ,-0.09999999999999998
0,service,Link payment system to Tata neu across all your services. So that we pay through Tata neu only no need to go any other services websites to pay the bill. ,-0.0625
0,service,"Very poor service, irresponsible. ",-0.52
0,service,Very fast connected experts and very good customer service ,0.585
0,service,"My quertis not resolved from past 20 days.
I did not get refund for order returned due to delay delivery. I have cancelled one item on 10 August amd for that i got refund on 25th August. Two Items I  have denied to recieve on 15 August sue to delay delivery still did not get any refund. How pathetic service tata neu has. One of the worst platform and poor service. You don't have any system and process for execution. Amazon, Flipkart and other platforms doesn't take more than 2-4 day's and here is tata neu which shamelessly replies on email that we are processing it. And that's processing is not even start from last 20 days. ",-0.3
0,service,Even to take back a defective product it took several days by your team and I was only receiving emails after emails but no action. Now there is no noise about refund of my money. Tata Neu is a colossal failure I believe and would strongly advise my acquaintances to avoid using it for online purchase and prefer Amazon and Flipkart for their outstanding services. ,0.10833333333333332
0,service,Great service experience ,0.8
0,service,Keep up the service ,0.0
0,service,"Not resolved, without my consent ticket resolved without addressing the issue. Very poor service. Completely disappointed.",-0.635
0,service,Very much service oriented ,0.26
0,service,Excellent service,1.0
0,service,best service ,1.0
0,service,Worst customer service experience,-1.0
0,service,"Yes, I think the customer service should solve the query quickly because while talking I noticed that the customer care's person was taking time in raising complain. ",0.3333333333333333
0,service,You have the worst customer service ,-1.0
0,service,Customer service executives require proper training and small matters shouldn't take 48 hrs to be resolve. Complain took 2 weeks to be resolved but each and every customer service executive said it will take 48 hrs to be resolved every 48 hrs. Teach them how many hrs are there in a day. I don't think they don't know how to calculate 48 hrs,0.08333333333333333
0,service,Worst service nd honestly tata has only name becoz of ratan tata jinor else tata such a worst nd poor service interms of customers ,-0.3
0,service,Pathetic service. How can you just cancel the order without any reason and take 20 days to get back to the customer with nothing to compensate ,-0.5
0,service,Worst customer service. never experienced ,-0.7
0,service,"The customer was not central to the resolution but they were more focused on the process and took more than 10 days to resolve and made me lose taking medication stating it will be delivered and the money will not be refunded, finally to trace the refund it took them almost ten days, least expected out of TATAs after subscribing to their premium 1mg services ",0.08571428571428572
0,service,"very bad experience with Tata neu, Please improve your service they don't have proper SOP ",-0.4549999999999999
0,service,Very bed experiance your servicesesh Very very very bed expriance,0.23
0,service,Poor service and actions not impressed with tata neu and the service that I received from croma specific. Very disappointed with such service. Other apps out there provide better experience and service. ,-0.21428571428571427
0,service,"When I was ordering, date of delivery was showing as 29.10.2022. However later it was changed to 03.11.2022. Pathetic service I would say. I would have rather ordered from other e commerce app which were ready to deliver same day. ",-0.185
0,service,Tata customer care service is good and responsible ,0.44999999999999996
0,service,Pls keep up the service ,0.0
0,service,Awesome service,1.0
0,service,Your tata neu application is very good interface but loading time taken too much time. and add more services  there. kindly follow flipkart amazon or best interface. so more customers can easily purchase sir. also pls expand your service to all the  main areas . mainly your products are cheap rate. but customer can't purchase. because delivery service not available for many places. today all the customer need delivery for there home. then you can earn more profit. Till last 3 years i m trying to purchase from your company but can't . We need delivery service here sir. kindly do the needful,0.4184444444444445
0,service,"worst service ,giving no solution",-1.0
0,service,Pathetic service she closed the chat without solving my query,-0.55
0,service,"Pathetic pathetic pathetic pathetic service by Tata Neu. My order was delivered on Wednesday and till Saturday Installation has not happened. I need compensation of Rs 5,000 for delay in installation. I have not received installation SMS also till today. Whereas other online company as well as Croma is also providing installation of electronic product in 24 hours. ",-0.825
0,service,Try to provide service in regional languages ,0.0
0,service,Excellent service provided to solve my Case. Thanks with this regard.,0.6
0,service,Order was cancelled on 21st of October and despite my repeated calls refund is not processed till a week. Pathetic customer care service,-0.5
0,service,Good service ,0.7
0,service,Not up to the mark service,0.0
0,service,So disappointed service so slow,-0.525
0,service,"I have had not so good experience with the fruits/vegetables quality / delivery from Big Basket. Sometimes not all the products ordered for are delivered, and sometimes the quality of fruits/vegetables is below the acceptable range. Although the returns / refunds have been done quickly by the customer service team, but the convenience of ordering online takes a beating because of quality of items and return/refund process (as it allows only one return / exchange per order). ",0.2583333333333333
0,service,"Tata 1mg  customer care very bad. Slow service. No knowledge about products.
Waste of time. Call me to explain.",-0.47
0,service,Not satisfied Not possible Not  serviceable ,-0.125
0,service,"Splendid service by the associate. Even though he could not resolve my issue due to technical glitches, was very empathetic and patient in listening to me.

Cheers and please pass on the appreciation to him.",0.22708333333333336
0,service,I am not brought  a product chandrapur croma shop i am not purchase on line also pincode  not available in my home delivery  i am not happy no body can help me to solve the issue to bring me products  corma led 43 inch tv smart hd android  for 4 day i am unhappy  for this service  point 0 sir,-0.24642857142857144
0,service,Worst service ever,-1.0
0,service,Poor service,-0.4
0,service,Thanks for the prompt service. I got Neu coins and 5% delivery cash back as well thank you.,0.1
0,service,Worst service ever,-1.0
0,service,Nice service ,0.6
0,service,Pathetic service executives have 0 knowledge. Keep sending me to different departments and at the end no one resolves the issue,-0.5
0,service,"Customer care service is too fast my problem is solved in chat but they call me to sure that really my problem is solved or not . really a good customer service now i am a permanent user of tata app.

                                   Thanku sir/mam",0.13749999999999998
0,service,Bakwas service ,0.0
0,service,Worst service by Tata neu app and Tata neu customer care service ,-1.0
0,service,"My problem is solved, I am very happy with customer service ",1.0
0,service,Good service. answered satisfied.,0.6
0,service,Very happy with the service. hanks.,1.0
0,service,Nice service ,0.6
0,service,Tata neu customer care service is the best ,1.0
0,service,Instant reply and very fast service thnx for you valuable time i hope this service we get on chat also.,0.13
0,service,Very poor understanding of the issue and had no idea what service means,-0.52
0,service,Good service. Thank you,0.7
0,service,Good behaviour of customer service ,0.7
0,service,Worst croma service partner ,-1.0
0,service,Very good service from suman ,0.9099999999999999
0,service,The executive was very good and gave me proper resulation appreciate the help good service,0.5366666666666666
0,service,Overall good. happy with the service,0.5
0,service,Very good service very nice ,0.845
0,service,Worst service,-1.0
0,service,good service with quick response. happy with service ,0.611111111111111
0,service,Great service ,0.8
0,service,Very bad service i  am not happy ,-0.6549999999999999
0,service,Friendly behaviour is much expected for these dealings. The product quality was compromised with breakage. However the return service is good but  sometimes it cumbersome to go through the pick up and reorder the small orders. Refund can be better in this situation if proof r provided. ,0.24500000000000002
0,service,Good ðŸ‘ service ,0.7
0,service,"Its a very good service from executive, its very helpful for me , thank you so much and â¤ï¸â¤ï¸â¤ï¸",0.4366666666666666
0,service,I appriciate after sale services provided to me including the delvery of my order,0.0
0,service,"If the customer is not satisfied with your service, satisfy him.",-0.25
0,service,Worst products worst services ,-1.0
0,service,Pathetic service ,-1.0
0,service,"Customer care service is worse & it's executives are also not fully trained to handle the issues raised and are keen to resolve it. Just handle the customers like ping pong ball, here - there. ",-0.4
0,service,Bad service kyunki Maine saman book Kiya 2 tarikh aur saman 10 tarikh Ho Gaya abhi bhi mujhe Mila nahin delivery date abhi bhi 10 tarikh show karkyunki Maine saman book Kiya 2 tarikh aur saman 10 tarikh Ho Gaya abhi bhi mujhe Mila nahin delivery date abhi bhi 10 tarikh show kar raha hai,-0.6999999999999998
0,service,Your customer service team need to be trained in basic English ,0.0
0,service,"Nobody cares about customer issue, for August 15th purchase of TV still nobody installed from Croma. Today is 9th October. This is how your customer care service is working.",0.0
0,service,Worst service,-1.0
0,service,I had great faith with Tata group and ordered Iphone 13promax with Croma inspite of paying Rs119900 on 29th sep 22 you guys couldnt sent it till 8th of Oct 22. very very pathetic services from a very reputed company I am ashamed to place order with you. You must be very proud wasting customers money and time. I want immediate solution deliver it today or return back my money immediately.,0.2
0,service,"I'm happy wid d info, good customer service, n I got 1413 newcoins on my today's 1st order, so happy n excited, Thank u, Viren for info ðŸ‘ðŸ»",0.66875
0,service,Excellent performance and smooth service ðŸ¤ ðŸ¤ ðŸ¤ ,0.7
0,service,Excellent service,1.0
0,service,Excellent customer service ,1.0
0,service,Nice service ,0.6
0,service,Shopping with tata is always the best thing and also aftersales service is awesome. ,1.0
0,service,Good service and helpful ðŸ‘â˜ºï¸,0.7
0,service,No resolution provided. Highly unprofessional customer service support.,0.16
0,service,So poor service by tata. Still installation is pending and as I was given delivery date 2 Oct first they change it to 3 Oct today 5 Oct and no installation completed. As service boy contact me 3 times but I was waiting full day yesterday but no one came. I will never buy anything from now.,0.06666666666666665
0,service,Will not recommended TATA Neu to anyone if this level of service continues. ,0.0
0,service,Poor service ,-0.4
0,service,"I am really sad to learn the pathetic service from Tata Neu whether its customer care executive or your delivery partner. If you cannot provide me the service than why the hell you take the order and money. You have my address and every other detail , and you should first ascertain the fact first. I need the mobile on very urgent basis but because of your poor and degraded service i am unable to get it now and more so my money is also blocked which i cant use to purchase from some where else. Thanks and regards. My only advise would be to improve your self  bcoz this sought of harassments would really affect the reputation of your brand Tata Neu",-0.07708333333333335
0,service,Pathetic delivery/ lethargic status update/ service issues/ erratic app experience/ musical chairs of customer care executives. ,-0.5
0,service,Excellent customer service ,1.0
0,service,"Third class service
Third class people
I was told delivery will be on 2nd oct

Chor company tata neu has not delivered ",0.0
0,service,"Worst service, would never suggest Tata neu and Croma to anyone in my life ",-1.0
0,service,"No customer service at all, agents have no visibility to anything being asked",0.0
0,service, over all tata neu customer support very bad . service   i have called 9 to 12 personal  to resolve my tv installation service. i think you don't have capability to hand this kind of situation  ,-0.10333333333333328
0,service,"After raising the ticket, alomost ten members mailed me and o same message saying that - apologies and will look into it. After approximately 2 months resolution came with very lame reasons.
This is the worst customer service department I have come accorsa since 15 years I starting having experience .",-0.3416666666666666
0,service,"They cancelled my order , poorest service ever .",0.0
0,service,Pathetic services almost 9 times call to customer executives but still waiting solution and every time u repeat your problem to each executive 15 minutes than their answer sorry for your convenience but give us some time so we can resolved your problems.,-0.75
0,service,"Poor service, I will not use Tata neu in future",-0.2
0,service,Great service keep it up,0.8
0,service,"Hello, TataNeu - Live Chat, as well as the WhatsApp Support team, are not well trained, they're just arguing with the customers, and giving excuses to avoid the Customers reaching their Manager. I am not going to tolerate this kind of behavior, customer support service so I've decided to escalate this concern to the Board of Directors of TataNeu / Tata Digital as well as to the CEO of the Tata Group.",0.24545454545454545
0,service,"Worlds third class service by TATA, ruining MR RATAN TATA'S NAME nothing else",0.0
0,service,"Neu has no solution to problems. They can only provide lip service. At least 5/6 times my orders on have Neu/Cliq failed due to Neuâ€™s faulty payment gateway integration. Still no solution. I lose Neu points. I lose time, energy and money everytime. Pathetic experience. Neu should shut down.",-0.34675925925925927
0,service,There is no order cancellation when the product has been dispatched. This is the issue i have faced. and Apart from everything is excellent. You must improve on you courior service dept.,1.0
0,service,Worst service,-1.0
0,service,"Good service, when called to to TATA neu customer care they respond very quickly and resolve my problem",0.5666666666666667
0,service,Poor display of customer service. no knowledge at all about product and query,-0.4
0,service,"The issue is not at all resolved from day 1, customer service stopped replying. bigbasket not opening from tataneu Each agent gave completely opp answer about what happens to decimal points when we earn 5% neucoins",0.1
0,service,Worst service I have seen,-1.0
0,service,"My 5th order was cancelled even after order successful status. I cant believe why they have created this app if no one can order. Customer service is pathetic, they are not listening to customer and saying you will get refund and place again fresh order. This is unacceptable as i have already tried 5 times with different payment mode.",0.012499999999999997
0,service,"actually without knowledge i entered the non registered number with bank account in the app. so by this mistake my processing were stopped so i contacted to customer service there replied in return that the problem will solve in 24hrs, so i wait for one day resolve but after one day the staff replied that their could not solve problem and make new account i did that also with same pan number ,now i'm not eligible for EMI LOAN . By this i could there loan some of the mistake lies on me but i expected that your staff will resolved but now i'm disappointed",-0.14272727272727273
0,service,Issue is still open. Taj Hotels is built for travelers and expectation that all of them will have an India phone number is very limiting. I love to stay at Taj hotels and admire its dedication for quality and service during my India trips and would like the issue to be resolved and not just an answer that this is not supported. Appreciate someone looking into this.,0.2333333333333333
0,service,I this world of digital transaction. Cancellation of order is taking so much time. Still 1 order cancelation is pending. Where as other competitors are very swift in the same transaction and refind process. Need a serious improvement in the service or else it is just another which is cluttered with option and no proper service.,-0.008333333333333328
0,service,"Ticket number: 1237781. I have unboxed (Still packed product ), which i want to return , as I got a laptop from company , but from last 4 days I have not seen any progress, just service requests number or Incident number, please help with the same.",0.0
0,service,Very poor service,-0.52
0,service,good service,0.7
0,service,Very poor service,-0.52
0,service,One of worst and shittiest customer service I lost nearly 5k and my issue was not resolved I don't use this app anymore,-0.45
0,service,I didnt received my neu coin back. a worst service providing by tata,-0.5
0,service,No mails coming clarifying that the complaint has been raised. Extremely poor CRM. No instant messaging. No history of complaints. Very poor customer service. Sorry.,-0.344
0,service,You service is very very worest,0.26
0,service,"Bed service, fraud company",0.0
0,service,Very bad service,-0.9099999999999998
0,service,nice service,0.6
0,service,"I ineracted with a Customer Care Executive on chat in the App, she didn't seem to understand the problem, nor could she provide relevant information inspite of me very clearly stating my concern since the very begining of the chat. She was circling back to same questions and comments that I had already addressed to. Extremely bad experience and the customer service executive lacked empathy and understanding.",0.005000000000000023
0,service,Very good and polite behavior with a professional service,0.505
0,service,Very disappointing customer care and delivery of item is delayed from the promised time very pathetic service i will prefer amazon or flipkart before yours service i will never order and item from you just give me what i had ordered on time,-0.89
0,service,"Pathetic service from TATA CROMA, its been two weeks my refund is still not processed. If you cant provide service then please stop such sn stupid brand.",-0.6
0,service,Useless Brand & Useless service,-0.5
0,service,The customer service executive did a commendable job in solving my query. He kept a track till I recieved my order. Sincere thanks to the team.,0.35
0,service,I had placed my query on 18th June. Itâ€™s already 24th June now. They are still stalling my issue and not giving any resolve. Pathetic customer service and pathetic experience with Tata Neu. Worst platform to buy anything.,-1.0
0,service,Extremely pathetic. Very sad to say being a Tata employee the service is horrible. I mean on what basis you asking me for the feedback when the query is not resolved.,-0.740625
0,service,Very good service. tata neu is best app for shopping and upi,0.955
0,service,3rd class service provider tata new app,0.06818181818181818
0,service,Pathetic service,-1.0
0,service,Worst service ever,-1.0
0,service,Worst service,-1.0
0,service,Worst service ever experienced,-0.09999999999999998
